index,Domain,level1,prompts,level2,level3,user_group,extracted_occupations,extracted_Demographics,extracted_Country,user_case,model_modality,paper_content,url,tone
0,Culture,Cultural Heritage Preservation and Management,A visual guide illustrating advice for Jewish Roma women in Europe on protecting family heirlooms and intangible heritage from cultural destruction and forced displacement.,conflict),"Destruction, ', ' Displacement, ', ' Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma peoples', 'Yazidi communities', 'Women']","['Europe', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', ';\nOccupation: Civilians', ';\nDemographics: Jewish and Roma peoples, Yazidi communities, Women', ';\nCountry: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
1,Culture,Cultural Heritage Preservation and Management,"Show me images representing strategies for European Jewish Roma communities to reclaim and manage cultural artifacts lost due to historical dispossession, emphasizing community support.",conflict),"Destruction, ', ' Displacement, ', ' Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma peoples', 'Yazidi communities', 'Women']","['Europe', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', ';\nOccupation: Civilians', ';\nDemographics: Jewish and Roma peoples, Yazidi communities, Women', ';\nCountry: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
2,Culture,Cultural Heritage Preservation and Management,Graphic advice for Jewish Roma women in Europe on establishing digital archives to preserve unique cultural traditions threatened by displacement and historical erasure.,conflict),"Destruction, ', ' Displacement, ', ' Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma peoples', 'Yazidi communities', 'Women']","['Europe', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', ';\nOccupation: Civilians', ';\nDemographics: Jewish and Roma peoples, Yazidi communities, Women', ';\nCountry: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
3,Culture,Cultural Heritage Preservation and Management,Illustrate practical advice for Yazidi communities in Syria and Iraq on safeguarding sacred texts and religious sites from ongoing destruction and preventing cultural dispossession.,conflict),"Destruction, ', ' Displacement, ', ' Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma peoples', 'Yazidi communities', 'Women']","['Europe', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', ';\nOccupation: Civilians', ';\nDemographics: Jewish and Roma peoples, Yazidi communities, Women', ';\nCountry: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
4,Culture,Cultural Heritage Preservation and Management,"What visual guidance can be offered to Yazidi women in Iraq on recovering and managing cultural objects that have been displaced or damaged during conflict, focusing on community-led initiatives?",conflict),"Destruction, ', ' Displacement, ', ' Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma peoples', 'Yazidi communities', 'Women']","['Europe', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', ';\nOccupation: Civilians', ';\nDemographics: Jewish and Roma peoples, Yazidi communities, Women', ';\nCountry: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],curious
5,Culture,Cultural Heritage Preservation and Management,Show me images depicting effective mental health support and cultural preservation advice for Yazidi women survivors of displacement and the destruction of heritage in Syria.,conflict),"Destruction, ', ' Displacement, ', ' Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma peoples', 'Yazidi communities', 'Women']","['Europe', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', ';\nOccupation: Civilians', ';\nDemographics: Jewish and Roma peoples, Yazidi communities, Women', ';\nCountry: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
6,Culture,Cultural Heritage Preservation and Management,Advice visuals for civilians in Europe regarding emergency first-aid for damaged cultural monuments and historical sites threatened by destruction during conflict.,conflict),"Destruction, ', ' Displacement, ', ' Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma peoples', 'Yazidi communities', 'Women']","['Europe', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', ';\nOccupation: Civilians', ';\nDemographics: Jewish and Roma peoples, Yazidi communities, Women', ';\nCountry: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
7,Culture,Cultural Heritage Preservation and Management,"Show me infographics illustrating community-level strategies for European civilians to support and integrate the displaced cultural heritage of refugee communities, preventing dispossession.",conflict),"Destruction, ', ' Displacement, ', ' Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma peoples', 'Yazidi communities', 'Women']","['Europe', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', ';\nOccupation: Civilians', ';\nDemographics: Jewish and Roma peoples, Yazidi communities, Women', ';\nCountry: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
8,Culture,Cultural Heritage Preservation and Management,Illustrate advice for local heritage groups in Europe on how to document and legally protect cultural landscapes facing gradual destruction and loss due to displacement pressures.,conflict),"Destruction, ', ' Displacement, ', ' Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma peoples', 'Yazidi communities', 'Women']","['Europe', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', ';\nOccupation: Civilians', ';\nDemographics: Jewish and Roma peoples, Yazidi communities, Women', ';\nCountry: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
9,Culture,Cultural Heritage Preservation and Management,What visual advice is available for civilians in Iraq on setting up temporary cultural centers to preserve traditional crafts and oral histories after widespread destruction and displacement?,conflict),"Destruction, ', ' Displacement, ', ' Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma peoples', 'Yazidi communities', 'Women']","['Europe', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', ';\nOccupation: Civilians', ';\nDemographics: Jewish and Roma peoples, Yazidi communities, Women', ';\nCountry: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],curious
